What's your relationship to renting in Bengaluru right now?,Where do you live in Bangalore?,"When your rent was last renewed, how much did it go up?","When your landlord last hiked the rent, what happened?",The security deposit you paid was roughly…,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,Dipped into savings to keep up,Delayed other financial goals,None of these,What's the most you'd pay in rent before you'd rather just leave Bengaluru?,Do you think Bengaluru should put a limit on how much rent can go up?,Roughly what share of your monthly take-home pay goes towards rent?,What do you think is the biggest reason Bengaluru rents have risen?,What is the hardest part of renting in Bengaluru today?,How old are you?,What best describes your work right now?,Response Type
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Up to 10%,"I paid it, no discussion",1–2 months' rent,,,,,,None of these,I'm already past my limit,Strongly agree,20–30%,Landlords taking advantage,,Under 25,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,,,,,,Another 25%,Strongly agree,20–30%,Landlords taking advantage,Rent + Maintenance+ water bill + electricity,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'd never leave over rent,Disagree,Under 20%,,Finding good apartments worth the rent being quoted,35 – 44,,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",11–20%,"I pushed back, and they didn't budge",6–8 months,,,Took on flatmates I'd rather not have,,,,Another 25%,Agree,Under 20%,Landlords taking advantage,"We have been ghosted by brokers.🥲
Rents are so high but localities don’t have a decent road. It’s a bubble inside the society. 
Want a society for safety but places like Hsr and Kora have so few of them and will never rent to bachelors at right prices. 
40k for 1 bhk is insanity!",25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I negotiated it down,3–5 months,,,,,,None of these,Another 25%,Strongly agree,Under 20%,Landlords taking advantage,Finding a well ventilated flat at a reasonable price WITHOUT a broker,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",It didn't go up,I negotiated it down,9–10 months,,,,,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,Under 20%,Landlords taking advantage,High rents for no rhyme or reason. A 3 bed ground floor unit with zero ventilation and sunlight goes for 60 to 70k. Why? Also it’s in a 30 yo property. Question the owner and the simple answer is. When you can’t afford why wasting my time. 2 bed rents are north of 45k. Again no reason.,35 – 44,Not working right now,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,I negotiated it down,3–5 months,,,,,,None of these,I'd never leave over rent,Agree,Under 20%,Not enough housing,"Anything close to prominent work areas are too too expensive, so you have to increase travel time to ensure rentals are okay as well as society and appartment are good enough",25 – 34,Senior career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",It didn't go up,I walked/moved out over it,3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,,,,I'd never leave over rent,Strongly agree,20–30%,IT salaries,"A centralized digital resource to finding apartments. There are many channels (Facebook groups, WhatsApp groups, Websites like Housing.com,  NoBroker,  MagicBricks), both paid and free, in which most listings are unreliable. They will either turn out to be scams, or landlords will arbitrarily change prices/terms of the agreement.

Another tough part is being a non-IT service employee and looking for houses. Everybody just assumes our salaries are on par, but most of us don't make enough money to live comfortably in a metro city. (To illustrate that: our incomes 4-5 years into our career still fall below the lowest tax bracket -- i.e. we're exempt) Renting makes up a much larger portion of our income than it does for IT workers with salaries exceeding 1 lakh a month.",25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,,None of these,I'd never leave over rent,Agree,,Too many people moving here,,35 – 44,,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,I negotiated it down,1–2 months' rent,,Downgraded to a smaller/older place,,,Delayed other financial goals,,Another 25%,Strongly agree,20–30%,Landlords taking advantage,"The hardest part is usually the upfront cost: most landlords ask for 6–10 months' rent as a security deposit, which is brutal for a big city.

Beyond that, tenants struggle with:
- Broker fees on top of the deposit
- Frequent rent hikes at renewal (often 10%+ per year)
- Limited stock in prime tech-corridor areas (Koramangala, Indiranagar, Whitefield) near work, so long commutes are common
- Landlords being picky about food/lifestyle preferences (veg-only buildings, bachelor restrictions)",25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,I negotiated it down,1–2 months' rent,,,,,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,Under 20%,Landlords taking advantage,"Rising rents overall: rents have climbed sharply post-pandemic as people returned to office and demand outpaced new supply, especially in tech corridors like Whitefield, Sarjapur Road, and HSR Layout.
	•	Traffic-driven location lock-in: because commutes are so bad, people end up paying a premium to live close to work, which shrinks their options and bargaining power.
	•	Water and power issues: many newer apartment complexes on the outskirts rely on tanker water supply, and tenants often don’t find out about shortages until after moving in.
	•	Lack of standardized rental agreements: verbal promises about maintenance, deposit return, or notice periods often don’t hold up, and tenants have little legal recourse compared to more formalized rental markets elsewhere.
	•	Deposit refund disputes: getting the full security deposit back at move-out is a common pain point — landlords deduct for “wear and tear” that’s disputed.
	•	Furnished vs. unfurnished confusion: listings aren’t always accurate, so what’s advertised as “semi-furnished” varies wildly, leading to surprises during viewings.
	•	Broker-dominated market: many good listings never make it to portals like NoBroker or 99acres because brokers keep them exclusive, so word-of-mouth and local Facebook/WhatsApp groups often work better than apps.",25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",21–40%,I walked/moved out over it,,,,,Dipped into savings to keep up,,,Another 10% and I'm out,Strongly agree,20–30%,Landlords taking advantage,Landlords have just no concern and keep raising rents. My landlord asked for a 22% increase.,45 – 54,,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,,3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,20–30%,Landlords taking advantage,Cost and landlords monopoly,25 – 34,,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",1–2 months' rent,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,I'll pay whatever it takes to stay,Strongly agree,Under 20%,Landlords taking advantage,"Being at the mercy of landlords or societies in aspects like rules, dos and don'ts, rent hikes, parking etc.",35 – 44,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,,,Dipped into savings to keep up,Delayed other financial goals,,Another 10% and I'm out,,20–30%,Too many people moving here,Finding good place with uninterrupted water supply and dealing with brokers.,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,I negotiated it down,3–5 months,Moved somewhere with a much longer commute,,,,,,Another 10% and I'm out,Strongly agree,30–40%,Too many people moving here,The market is cornered by brokers. Need better price discovery mechanics.,25 – 34,Mid career,completed
I pay rent,Outer / just outside city limits,Up to 10%,I negotiated it down,3–5 months,,,,,,None of these,Another 25%,Strongly disagree,30–40%,Not enough housing,Discoverability and expectation gaps,35 – 44,Mid career,completed
I pay rent,Outer / just outside city limits,Up to 10%,"I paid it, no discussion",6–8 months,Moved somewhere with a much longer commute,,,,,,Another 10% and I'm out,Strongly agree,20–30%,Landlords taking advantage,"The fact that you dont have an option but to do what the landlord says, if you disagree you'd be homeless. So it's a take it or leave it for renters.",25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",11–20%,"I paid it, no discussion",1–2 months' rent,,,,,,None of these,I'll pay whatever it takes to stay,Strongly agree,Under 20%,Too many people moving here,"Need to find near office to manage traffic, which means higher rents and cost of living and lower standard of living.",25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,,,,,Another 10% and I'm out,Strongly agree,Under 20%,Too many people moving here,,25 – 34,Self-employed / run my own business,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'd never leave over rent,Disagree,Under 20%,IT salaries,Hard to find a good house near to office location,25 – 34,Senior career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",,"I paid it, no discussion",9–10 months,,,,,Delayed other financial goals,,I'm already past my limit,Strongly agree,20–30%,IT salaries,"Extremely high security deposit, probably the worst in the globe",35 – 44,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",,I negotiated it down,1–2 months' rent,,,,Dipped into savings to keep up,,,I'll pay whatever it takes to stay,Agree,Under 20%,Too many people moving here,,25 – 34,,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",,Haven't faced a rent hike,3–5 months,Moved somewhere with a much longer commute,,,,,,Another 10% and I'm out,Strongly agree,,Too many people moving here,,25 – 34,,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I negotiated it down,3–5 months,,,,,,None of these,I'd never leave over rent,Not sure,Under 20%,Too many people moving here,,25 – 34,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,,None of these,I'd never leave over rent,Disagree,Under 20%,Too many people moving here,,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,Another 10% and I'm out,,20–30%,Landlords taking advantage,"Finding a clean suitable place; not being taken advantage of by local brokers and landlords; travelling to, visiting each flat and dealing with multiple brokers",35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,I'm already past my limit,Strongly agree,Under 20%,Landlords taking advantage,,25 – 34,,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,,,Dipped into savings to keep up,Delayed other financial goals,,Another 10% and I'm out,Agree,Under 20%,IT salaries,Finding a good place for bachelor,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,Another 25%,Strongly agree,20–30%,Landlords taking advantage,"Rising costs across the board - rent + house help costs + cook + maintenance. It's just extremely expensive. Higher salaries in certain pockets (Indiranagar, MG Road, etc.) make it impossible for someone with lower salaries to live there",Under 25,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,,None of these,Another 10% and I'm out,Not sure,20–30%,IT salaries,"reasonable rent, manageable traffic and amenities - all together",35 – 44,Self-employed / run my own business,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",11–20%,I walked/moved out over it,3–5 months,,,,,,,I'm already past my limit,Strongly agree,20–30%,Landlords taking advantage,"High rent - say 50k for an average 2bhk has been normalised. You get nothing extra. The same garbage outside the apartment, the same issues. 

The landlords and brokers have become arrogant and started judging people based on religion, job profile or the state where they come from. 

The landlords assume that if you are not IT, you can’t afford rents and hence they choose not to show the house. 

A stronger rule will change it and people should stop paying ridiculous amounts as rents.",25 – 34,,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,I negotiated it down,9–10 months,,,,,,None of these,I'll pay whatever it takes to stay,Strongly agree,Under 20%,Too many people moving here,,,Self-employed / run my own business,completed
I pay rent,"West (Rajajinagar, Malleshwaram, Vijayanagar)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,,,,,Delayed other financial goals,,I'm already past my limit,Strongly agree,20–30%,Too many people moving here,,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",It didn't go up,"I paid it, no discussion",,Moved somewhere with a much longer commute,,,Dipped into savings to keep up,Delayed other financial goals,,I'll pay whatever it takes to stay,Disagree,,Brokers,Finding the right house,35 – 44,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,,,Dipped into savings to keep up,,,I'm already past my limit,Strongly agree,Under 20%,IT salaries,Money,25 – 34,Early career,completed
I pay rent,"West (Rajajinagar, Malleshwaram, Vijayanagar)",Up to 10%,,More than 10 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,I'd never leave over rent,Strongly agree,30–40%,,,25 – 34,,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Haven't renewed / not applicable,"I paid it, no discussion",6–8 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,Delayed other financial goals,,Another 25%,Disagree,20–30%,Not enough housing,"Lack of abundant ""good"" options",25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,Moved somewhere with a much longer commute,,,,Delayed other financial goals,,I'd never leave over rent,Strongly agree,20–30%,IT salaries,Finding a space with decent lighting and air ventilation.,25 – 34,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",It didn't go up,Haven't faced a rent hike,1–2 months' rent,,Downgraded to a smaller/older place,,,,,Another 25%,Agree,Under 20%,Landlords taking advantage,Finding reasonable (rent vs facilities) homes in moderately connected areas,25 – 34,,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",11–20%,"I pushed back, and they didn't budge",1–2 months' rent,,,,,,None of these,Another 25%,Not sure,Under 20%,IT salaries,,35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,,None of these,Another 25%,Strongly disagree,Under 20%,Something else,"The hardest part is that the public infra is not good enough, so you are forced to pay rent close to office, that means hot rental pockets due to localized demand/supply.",35 – 44,Senior career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,,,,,I'd never leave over rent,Agree,Under 20%,Landlords taking advantage,Brokerage menace; Rental hikes should be capped; Apartments should disband move-in and move-out charges.,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",6–8 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,,,,I'm already past my limit,Strongly agree,Under 20%,Brokers,,25 – 34,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,,,Dipped into savings to keep up,,,Another 10% and I'm out,Strongly agree,20–30%,Landlords taking advantage,"If Metro was like NCR, no one will mind staying far...but with school, office and traffic leaves us with little choice",45 – 54,Senior career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,Moved somewhere with a much longer commute,,,,Delayed other financial goals,,I'll pay whatever it takes to stay,Strongly disagree,30–40%,Too many people moving here,,35 – 44,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",,I negotiated it down,9–10 months,,Downgraded to a smaller/older place,,,,,Another 25%,,20–30%,Landlords taking advantage,The uncertainty of sudden increases because of the greed of both home owners and brokers.,35 – 44,Self-employed / run my own business,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,Moved somewhere with a much longer commute,,,,Delayed other financial goals,,I'm already past my limit,Agree,20–30%,Not enough housing,,25 – 34,Senior career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",11–20%,,1–2 months' rent,Moved somewhere with a much longer commute,,,,,,Another 25%,Strongly agree,Over 50%,Too many people moving here,,Under 25,,completed
I pay rent,"West (Rajajinagar, Malleshwaram, Vijayanagar)",Up to 10%,"I paid it, no discussion",9–10 months,,,,Dipped into savings to keep up,Delayed other financial goals,,Another 25%,Agree,Under 20%,Too many people moving here,,25 – 34,Senior career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",It didn't go up,"I paid it, no discussion",6–8 months,,,,,,None of these,I'd never leave over rent,Agree,Under 20%,Not enough housing,"There isn’t any. Check out Chennai, Kochi, Delhi to know how a tenant is under a microscope before  deal is done.",55 and above,Self-employed / run my own business,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,,None of these,I'd never leave over rent,Disagree,,IT salaries,,35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I negotiated it down,3–5 months,,,,,Delayed other financial goals,,I'm already past my limit,Strongly agree,20–30%,Landlords taking advantage,,35 – 44,Senior career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",6–8 months,Moved somewhere with a much longer commute,,,,,,I'd never leave over rent,Disagree,Under 20%,Too many people moving here,,35 – 44,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",6–8 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,Dipped into savings to keep up,Delayed other financial goals,,Another 25%,Agree,30–40%,Landlords taking advantage,,25 – 34,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",It didn't go up,Haven't faced a rent hike,3–5 months,,Downgraded to a smaller/older place,,,,,I'm already past my limit,Strongly agree,Under 20%,Landlords taking advantage,Very high deposits and hooliganism/groupism by landlords,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",1–2 months' rent,,,,Dipped into savings to keep up,,,I'll pay whatever it takes to stay,Agree,Under 20%,Too many people moving here,,25 – 34,Mid career,completed
I pay rent,Outer / just outside city limits,Up to 10%,"I paid it, no discussion",1–2 months' rent,,,,,Delayed other financial goals,,Another 10% and I'm out,,Under 20%,,Lack of Amenities for the given rent,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,Downgraded to a smaller/older place,,,,,I'm already past my limit,Strongly agree,30–40%,Landlords taking advantage,,45 – 54,Senior career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,,None of these,I'd never leave over rent,Not sure,Under 20%,Landlords taking advantage,Landlords expecting usurious rents and paying little head to rights of tenants,45 – 54,Self-employed / run my own business,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I negotiated it down,3–5 months,,,,Dipped into savings to keep up,,,I'll pay whatever it takes to stay,,Under 20%,Landlords taking advantage,"Security deposit. The rent itself is very high and 4x or 6x of that rent is just too much to give in one go.

To be honest it's all landlords taking advantage since there are more takers they simply raise the rent. It's pure greed. It's causes the city to become expensive. These people are at the core of it and they don't even know it. It's a vicious cycle that they start. 

Rent up -> business prices and salary ask up -> stuff and services increase in price -> everything becomes expensive for everyone even landlords -> rent increase because the heat comes back to the landlords.",35 – 44,Self-employed / run my own business,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",It didn't go up,Haven't faced a rent hike,3–5 months,,,,,,None of these,I'll pay whatever it takes to stay,Strongly agree,Under 20%,Too many people moving here,,35 – 44,Self-employed / run my own business,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",9–10 months,,,,,,None of these,,Agree,Under 20%,Something else,Competing with food preference,45 – 54,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",More than 40%,,More than 10 months,,,,,,,I'll pay whatever it takes to stay,Strongly agree,,Landlords taking advantage,"Arbitrary nature of rents in a location with no standardization of amenities, facilities, or even in some cases, area",45 – 54,Senior career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,,,,,I'd never leave over rent,Strongly agree,20–30%,Landlords taking advantage,Rents are just too high,45 – 54,Senior career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,,,,Delayed other financial goals,,I'm already past my limit,Agree,30–40%,IT salaries,"The security amount to shift anywhere is insane. I’m bound to stay at this current flat for the last 3 years because the shifting security, the brokerage are insane. The tenant honestly doesn’t have much say in any of this- my landlord has put a clause in my agreement that when I move out, I have to give up a months rent for repairs and repainting. So effectively, for me to move out to a different house with lower rent, is not any cheaper. So I end up taking the 10% hikes every year.",25 – 34,Mid career,completed
I pay rent,Outer / just outside city limits,Up to 10%,I negotiated it down,3–5 months,Moved somewhere with a much longer commute,,,,Delayed other financial goals,,I'd never leave over rent,Strongly agree,Under 20%,Too many people moving here,"Finding decently priced house closer to office and other essential amenities. The biggest problem is the crumbling infrastructure. I can live farther away but traffic is a nightmare (orr commuter- office in mahadevpura, stays in ecity)!!",25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",11–20%,I negotiated it down,6–8 months,,,,,,None of these,I'll pay whatever it takes to stay,Agree,Under 20%,Too many people moving here,"Cheap, affordable rent. No mechanism to control rental increase",45 – 54,Mid career,completed
I pay rent,Outer / just outside city limits,Up to 10%,"I paid it, no discussion",1–2 months' rent,Moved somewhere with a much longer commute,,,,,,Another 25%,Strongly agree,Under 20%,IT salaries,Matching expectations of home owners in terms of rent and conditions,25 – 34,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",21–40%,"I pushed back, and they didn't budge",3–5 months,,,,,,None of these,Another 25%,Agree,,Not enough housing,,25 – 34,,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Up to 10%,"I pushed back, and they didn't budge",6–8 months,Moved somewhere with a much longer commute,,,,,,Another 25%,,20–30%,,,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",21–40%,"I pushed back, and they didn't budge",6–8 months,,,,,,None of these,I'd never leave over rent,Agree,Under 20%,Landlords taking advantage,"I still consider myself lucky to have good amenities for the rent I'm paying. Others pay exorbitant rent just to stay near their offices and other hotspots, which doesn't make sense for me. The salaries people have, and the pressure they live with, they are always willing to throw money at things (for fancy houses and hot areas, just like founders and VCs) than actually adjust a bit (particularly live a little far from office with better amenities at same or lower price).",25 – 34,Not working right now,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Up to 10%,I negotiated it down,3–5 months,,,,,Delayed other financial goals,,I'll pay whatever it takes to stay,Agree,Under 20%,Landlords taking advantage,"Even the local, no amenities, independent houses wants rent like premimum community apartments with all amenities and security. Landlords have no differentiation.",35 – 44,Senior career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,Another 25%,Not sure,Under 20%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,I negotiated it down,1–2 months' rent,,,,,,None of these,Another 10% and I'm out,Agree,Under 20%,Too many people moving here,Right society,45 – 54,,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,Delayed other financial goals,,I'd never leave over rent,Agree,Under 20%,Too many people moving here,finding the right place,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",It didn't go up,Haven't faced a rent hike,3–5 months,,,Took on flatmates I'd rather not have,,,,Another 25%,Agree,Under 20%,Too many people moving here,,25 – 34,Self-employed / run my own business,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,Haven't faced a rent hike,6–8 months,,,,Dipped into savings to keep up,Delayed other financial goals,,I'm already past my limit,Strongly agree,40–50%,Landlords taking advantage,Decent homes for affordable prices and bad maintenance,25 – 34,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,,,,Delayed other financial goals,,I'd never leave over rent,Disagree,20–30%,Not enough housing,Brokerage,35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,,6–8 months,,,,,Delayed other financial goals,,I'm already past my limit,,20–30%,Not enough housing,,35 – 44,,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,,Dipped into savings to keep up,,,I'd never leave over rent,Strongly agree,Under 20%,Landlords taking advantage,Finding a good place you make it home,35 – 44,,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",9–10 months,,,,,,None of these,Another 25%,Strongly agree,Under 20%,IT salaries,Scarcity of supply. Especially in jayanagar.,35 – 44,Self-employed / run my own business,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Haven't renewed / not applicable,"I paid it, no discussion",3–5 months,Moved somewhere with a much longer commute,,,,,,I'd never leave over rent,Strongly disagree,20–30%,Too many people moving here,"nothing really versus owning a home, if that's the Q; BLR is just too noisy, too much traffic, etc. Its a BLR problem not a renting problem",Under 25,Early career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",,I negotiated it down,,,,,,,None of these,I'm already past my limit,,20–30%,,"There is always a set of people who are paying very high rent,which pushes the market far ahead of what it need to be",45 – 54,Senior career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",,I negotiated it down,3–5 months,,,,,,None of these,I'm already past my limit,,Under 20%,,Getting the right sized apartment near the office,25 – 34,Mid career,completed
I pay rent,"West (Rajajinagar, Malleshwaram, Vijayanagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,,Another 25%,Strongly agree,Under 20%,Landlords taking advantage,,25 – 34,,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I negotiated it down,3–5 months,,,,Dipped into savings to keep up,Delayed other financial goals,,I'd never leave over rent,Strongly agree,20–30%,Landlords taking advantage,Not getting a value for money on the rent,35 – 44,Self-employed / run my own business,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",11–20%,I negotiated it down,3–5 months,,,Took on flatmates I'd rather not have,,,,I'd never leave over rent,Strongly agree,Under 20%,Too many people moving here,"Even after paying a good amount of money, most houses are poorly constructed. You end up viewing at least 20 flats before finalizing one and even then, you have to compromise on either the locality, ventilation, apartment size, or something else.",25 – 34,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",21–40%,I walked/moved out over it,6–8 months,Moved somewhere with a much longer commute,,,,Delayed other financial goals,,Another 25%,Agree,20–30%,Too many people moving here,"Finding the right neighborhood, with the right configuration of flat, too many variables to optimize on",25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,I negotiated it down,3–5 months,,,,,,None of these,Another 10% and I'm out,Strongly agree,Under 20%,Too many people moving here,Getting a good landlord and a good deal,45 – 54,Mid career,completed
I pay rent,Outer / just outside city limits,21–40%,"I pushed back, and they didn't budge",3–5 months,,,,,,None of these,Another 10% and I'm out,Agree,Under 20%,Not enough housing,"Landlords have all the power. Even in premium residential societies, there's discrimination against renters and owners. There's no protection for the security deposit.",35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",9–10 months,,,,,,None of these,I'll pay whatever it takes to stay,,Under 20%,Not enough housing,The ability to get another flat in case your current landlord chucks you out because there are limited housing available in central bengaluru,35 – 44,Senior career,completed
